category_name,category_id,product_name,brand,serving_size,total_weight,kcal,carbohydrate_g,sugar_g,fat_g,saturated_fat_g,trans_fat_g,protein_g,sodium_mg,sugar_alcohol_g,allulose_g,erythritol_g
음료,5,오늘좋은 아샷추 복숭아 제로,태웅식품(주),240ml,"1,500.000mL",4,1,0,0,0,0,0,0,,,
음료,5,올데이프룻 제로 청매실,(주)서울에프엔비횡성지점,200ml,250.000mL,3,2.4,0,0,0,0,0,4,,,1
음료,5,유어스 레몬라임 제로 에이드,(주)에이트리에프앤비,200ml,340.000mL,7,1.77,0,0,0,0,0,1,,,
음료,5,이강베 제로밀크티,(주)자연농장,200ml,100.000g,37,8,7,0.06,0,0,0.1,12,,,
음료,5,이강베 제로복숭아아이스티,(주)자연농장,200ml,100.000g,34,8,7,0.06,0,0,0.1,12,,,
음료,5,일화차시 유자민트티 제로,㈜삼양패키징,200ml,500.000mL,1,0.21,0.1,0.02,0,0,0.01,5,,,
음료,5,일화차시 제로 키위그린티,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,0.19,0,0.03,0,0,0.01,5,,,
음료,5,일화차시 제로 피치캐모마일티,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,0.19,0.15,0,0,0,0,4,,,
음료,5,일화차시 제로 허니자몽블랙티,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,0.22,0.15,0.03,0,0,0.02,4,,,
음료,5,자연은 레몬셔벗에이드 제로,동원시스템즈㈜ 횡성공장,200ml,500.000mL,2,2.31,0,0,0,0,0.01,4,,,1.8
음료,5,자연은 알로에 제로,웅진식품㈜,200ml,500.000mL,1,1.84,0.4,0,0,0,0,9,,,1.5
음료,5,자연은 애플셔벗에이드 제로,동원시스템즈㈜ 횡성공장,200ml,500.000mL,2,2.27,0,0.04,0.04,0,0,1,,,1.8
음료,5,제로,농업회사법인(주)고려홍삼공사,200ml,"3,900.000mL",31,7.69,3.85,0,0,0,0,0,,,
음료,5,제로 문경 오미자 아이스티,주식회사스위트컵,150ml,500.000g,34,10,0,0,0,0,0,100,,,
